GEOID,category,is_hpsa,num_pharmacies_2022,num_pharmacies_2017,num_pharmacies_2012,change_indep_10yr,change_indep_5yr,change_majchain_10yr,change_majchain_5yr
36005006000,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005006100,MAJOR CHAIN,True,1.0,2.0,1.0,,,0.0,-1.0
36005006200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005006301,MAJOR CHAIN,False,1.0,1.0,2.0,,,-1.0,0.0
36005006500,INDEPENDENT,True,17.0,14.0,11.0,6.0,3.0,,
36005006500,MAJOR CHAIN,True,1.0,1.0,3.0,,,-2.0,0.0
36005006500,MINOR CHAIN,True,1.0,0.0,0.0,,,,
36005006700,INDEPENDENT,True,1.0,2.0,1.0,0.0,-1.0,,
36005006800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005006900,INDEPENDENT,True,5.0,3.0,2.0,3.0,2.0,,
36005007000,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005007100,INDEPENDENT,True,3.0,3.0,1.0,2.0,0.0,,
36005007100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005007200,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005007300,INDEPENDENT,True,3.0,4.0,2.0,1.0,-1.0,,
36005007500,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005007600,INDEPENDENT,True,3.0,1.0,0.0,3.0,2.0,,
36005007700,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005007900,INDEPENDENT,True,1.0,0.0,1.0,0.0,1.0,,
36005008300,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005008500,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005008700,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005008900,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005008900,INDEPENDENT,True,1.0,2.0,2.0,-1.0,-1.0,,
36005009000,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005009000,MAJOR CHAIN,True,1.0,2.0,1.0,,,0.0,-1.0
36005009200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005009301,INDEPENDENT,False,1.0,1.0,1.0,0.0,0.0,,
36005009302,HEALTHCARE,False,1.0,1.0,1.0,,,,
36005009600,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005011502,INDEPENDENT,True,2.0,3.0,2.0,0.0,-1.0,,
36005011900,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005011900,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005012300,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005012701,INDEPENDENT,True,1.0,2.0,2.0,-1.0,-1.0,,
36005012901,INDEPENDENT,True,3.0,3.0,3.0,0.0,0.0,,
36005013200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005013300,INDEPENDENT,True,1.0,0.0,1.0,0.0,1.0,,
36005013800,INDEPENDENT,True,1.0,0.0,1.0,0.0,1.0,,
36005014100,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005014300,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005014500,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005014500,INDEPENDENT,True,4.0,1.0,0.0,4.0,3.0,,
36005014701,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005014900,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005015100,INDEPENDENT,True,2.0,3.0,3.0,-1.0,-1.0,,
36005015200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005015200,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005015500,INDEPENDENT,True,3.0,4.0,2.0,1.0,-1.0,,
36005015800,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005015900,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005016100,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005016100,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005016700,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005016900,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005016900,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005017300,INDEPENDENT,True,4.0,4.0,4.0,0.0,0.0,,
36005017500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005017701,INDEPENDENT,True,1.0,2.0,2.0,-1.0,-1.0,,
36005017702,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005017901,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005018101,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005018102,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005018301,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005018302,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005018400,INDEPENDENT,True,2.0,1.0,1.0,1.0,1.0,,
36005018502,INDEPENDENT,False,1.0,2.0,0.0,1.0,-1.0,,
36005018900,INDEPENDENT,True,2.0,2.0,2.0,0.0,0.0,,
36005019300,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005019300,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
36005019500,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005019700,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005019700,INDEPENDENT,True,4.0,2.0,2.0,2.0,2.0,,
36005019700,MAJOR CHAIN,True,1.0,1.0,0.0,,,1.0,0.0
36005019900,INDEPENDENT,True,4.0,3.0,4.0,0.0,1.0,,
36005020000,HEALTHCARE,True,1.0,1.0,1.0,,,,
36005020000,INDEPENDENT,True,4.0,3.0,4.0,0.0,1.0,,
36005020000,MAJOR CHAIN,True,1.0,2.0,2.0,,,-1.0,-1.0
36005020200,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005020400,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005020502,INDEPENDENT,True,1.0,0.0,0.0,1.0,1.0,,
36005020601,INDEPENDENT,True,3.0,3.0,3.0,0.0,0.0,,
36005020900,INDEPENDENT,True,3.0,2.0,1.0,2.0,1.0,,
36005021001,INDEPENDENT,True,2.0,2.0,0.0,2.0,0.0,,
36005021002,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005021100,INDEPENDENT,True,2.0,2.0,1.0,1.0,0.0,,
36005021200,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005021301,INDEPENDENT,True,1.0,1.0,0.0,1.0,0.0,,
36005021302,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005021501,INDEPENDENT,True,2.0,3.0,3.0,-1.0,-1.0,,
36005021502,INDEPENDENT,True,2.0,2.0,3.0,-1.0,0.0,,
36005021601,INDEPENDENT,True,1.0,1.0,1.0,0.0,0.0,,
36005021602,MAJOR CHAIN,True,1.0,1.0,1.0,,,0.0,0.0
